CodeDep;Année;Hommes;Femmes;total
FR-01;01/01/2010;295707;301634;597341
FR-02;01/01/2010;262999;277509;540508
FR-03;01/01/2010;164483;178425;342908
FR-04;01/01/2010;77598;82551;160149
FR-05;01/01/2010;66857;70114;136971
FR-06;01/01/2010;510149;568580;1078729
FR-07;01/01/2010;153480;161610;315090
FR-08;01/01/2010;138955;144295;283250
FR-09;01/01/2010;74143;77895;152038
FR-10;01/01/2010;147394;155933;303327
FR-11;01/01/2010;171806;184661;356467
FR-12;01/01/2010;135528;141277;276805
FR-13;01/01/2010;941027;1030991;1972018
FR-14;01/01/2010;328672;354433;683105
FR-15;01/01/2010;72057;76105;148162
FR-16;01/01/2010;170202;181375;351577
FR-17;01/01/2010;299703;322620;622323
FR-18;01/01/2010;151082;160175;311257
FR-19;01/01/2010;118074;125477;243551
FR-2A;01/01/2010;69661;73939;143600
FR-2B;01/01/2010;81972;84121;166093
FR-21;01/01/2010;253661;270697;524358
FR-22;01/01/2010;285818;305823;591641
FR-23;01/01/2010;59794;63235;123029
FR-24;01/01/2010;199239;214910;414149
FR-25;01/01/2010;258852;268918;527770
FR-26;01/01/2010;235845;248870;484715
FR-27;01/01/2010;286491;300052;586543
FR-28;01/01/2010;210244;218689;428933
FR-29;01/01/2010;434747;462881;897628
FR-30;01/01/2010;342014;367686;709700
FR-31;01/01/2010;607753;635888;1243641
FR-32;01/01/2010;91850;96309;188159
FR-33;01/01/2010;694456;754789;1449245
FR-34;01/01/2010;498750;545808;1044558
FR-35;01/01/2010;482147;505993;988140
FR-36;01/01/2010;111941;119235;231176
FR-37;01/01/2010;284496;306019;590515
FR-38;01/01/2010;593783;612591;1206374
FR-39;01/01/2010;127878;133656;261534
FR-40;01/01/2010;186892;197428;384320
FR-41;01/01/2010;160452;169627;330079
FR-42;01/01/2010;361101;387846;748947
FR-43;01/01/2010;109874;114132;224006
FR-44;01/01/2010;621628;660424;1282052
FR-45;01/01/2010;320458;335647;656105
FR-46;01/01/2010;84582;89996;174578
FR-47;01/01/2010;159919;171204;331123
FR-48;01/01/2010;38697;38385;77082
FR-49;01/01/2010;381343;403467;784810
FR-50;01/01/2010;243250;255497;498747
FR-51;01/01/2010;274486;290821;565307
FR-52;01/01/2010;90277;93762;184039
FR-53;01/01/2010;150966;155371;306337
FR-54;01/01/2010;354243;377964;732207
FR-55;01/01/2010;96063;97860;193923
FR-56;01/01/2010;350536;371121;721657
FR-57;01/01/2010;511895;533171;1045066
FR-58;01/01/2010;105078;114506;219584
FR-59;01/01/2010;1243192;1333578;2576770
FR-60;01/01/2010;395609;407986;803595
FR-61;01/01/2010;141955;149687;291642
