ISO_Code;Grand secteur d'activité;Date;Valeur
FR-01;GS7 Services non marchands;01/01/2010;1124
FR-01;GS3 Commerce;01/01/2010;3203
FR-01;GS4 Hôtellerie-restauration;01/01/2010;1222
FR-01;GS6 Intérim;01/01/2010;148
FR-01;GS5 Autres services marchands hors intérim;01/01/2010;4930
FR-01;GS2 Construction;01/01/2010;2213
FR-01;GS1 Industrie;01/01/2010;2143
FR-02;GS2 Construction;01/01/2010;1631
FR-02;GS4 Hôtellerie-restauration;01/01/2010;783
FR-02;GS6 Intérim;01/01/2010;89
FR-02;GS7 Services non marchands;01/01/2010;1009
FR-02;GS5 Autres services marchands hors intérim;01/01/2010;3516
FR-02;GS1 Industrie;01/01/2010;1141
FR-02;GS3 Commerce;01/01/2010;2444
FR-03;GS2 Construction;01/01/2010;1160
FR-03;GS5 Autres services marchands hors intérim;01/01/2010;2905
FR-03;GS1 Industrie;01/01/2010;905
FR-03;GS4 Hôtellerie-restauration;01/01/2010;717
FR-03;GS3 Commerce;01/01/2010;2121
FR-03;GS7 Services non marchands;01/01/2010;852
FR-03;GS6 Intérim;01/01/2010;55
FR-04;GS5 Autres services marchands hors intérim;01/01/2010;1762
FR-04;GS4 Hôtellerie-restauration;01/01/2010;679
FR-04;GS7 Services non marchands;01/01/2010;463
FR-04;GS2 Construction;01/01/2010;761
FR-04;GS6 Intérim;01/01/2010;88
FR-04;GS1 Industrie;01/01/2010;384
FR-04;GS3 Commerce;01/01/2010;1145
FR-05;GS3 Commerce;01/01/2010;1200
FR-05;GS4 Hôtellerie-restauration;01/01/2010;925
FR-05;GS1 Industrie;01/01/2010;361
FR-05;GS7 Services non marchands;01/01/2010;422
FR-05;GS6 Intérim;01/01/2010;14
FR-05;GS5 Autres services marchands hors intérim;01/01/2010;1969
FR-05;GS2 Construction;01/01/2010;687
FR-06;GS2 Construction;01/01/2010;4949
FR-06;GS4 Hôtellerie-restauration;01/01/2010;4646
FR-06;GS1 Industrie;01/01/2010;2300
FR-06;GS5 Autres services marchands hors intérim;01/01/2010;17173
FR-06;GS3 Commerce;01/01/2010;9081
FR-06;GS6 Intérim;01/01/2010;208
FR-06;GS7 Services non marchands;01/01/2010;3241
FR-07;GS7 Services non marchands;01/01/2010;875
FR-07;GS5 Autres services marchands hors intérim;01/01/2010;2586
FR-07;GS2 Construction;01/01/2010;1279
FR-07;GS4 Hôtellerie-restauration;01/01/2010;864
FR-07;GS3 Commerce;01/01/2010;1781
FR-07;GS6 Intérim;01/01/2010;33
FR-07;GS1 Industrie;01/01/2010;847
FR-08;GS3 Commerce;01/01/2010;1363
FR-08;GS6 Intérim;01/01/2010;64
FR-08;GS7 Services non marchands;01/01/2010;609
FR-08;GS2 Construction;01/01/2010;872
FR-08;GS4 Hôtellerie-restauration;01/01/2010;461
FR-08;GS5 Autres services marchands hors intérim;01/01/2010;1968
FR-08;GS1 Industrie;01/01/2010;829
FR-09;GS6 Intérim;01/01/2010;16
FR-09;GS7 Services non marchands;01/01/2010;380
FR-09;GS4 Hôtellerie-restauration;01/01/2010;370
FR-09;GS2 Construction;01/01/2010;569
FR-09;GS1 Industrie;01/01/2010;409
FR-09;GS3 Commerce;01/01/2010;944
FR-09;GS5 Autres services marchands hors intérim;01/01/2010;1463
