Nom;Prénom;Nom Partis;Indicateur Parti;Année;NumCandidat
Arthaud;Nathalie;LO;0.1;01/01/2012;1
Poutou;Philippe;Nouveau Parti Anticapitaliste;0.0;01/01/2012;2
Mélenchon;Jean-Luc;FI;0.2;01/01/2012;3
Hollande;François;PS;0.3;01/01/2012;4
Joly;Eva;Europe Ecologie Les Verts;0.4;01/01/2012;5
Cheminade;Jacques;Solidarité et progrès;0.5;01/01/2012;6
Sarkozy;Nicolas;UMP;0.6;01/01/2012;7
Bayrou;François;Mouvement démocrate;0.6;01/01/2012;8
Dupont-Aignan;Nicolas;Debout la république;0.8;01/01/2012;9
Le Pen;Marine;FN;1.0;01/01/2012;10
Arthaud;Nathalie;Lutte Ouvrière;0.1;01/01/2017;1
Poutou;Philippe;Nouveau Parti Anticapitaliste;0.0;01/01/2017;2
Mélenchon;Jean-Luc;La France insoumise;0.2;01/01/2017;3
Hamon;Benoit;PS;0.3;01/01/2017;11
Cheminade;Jacques;Solidarité et progrès;0.5;01/01/2017;6
Lassalle;Jean;Résistons;0.55;01/01/2017;12
Macron;Emmanuel;En Marche;0.5;01/01/2017;13
Asselineau;François;Union populaire républicaines;0.6;01/01/2017;14
Fillon;François;Les Républicains;0.8;01/01/2017;15
Dupont-Aignan;Nicolas;Debout la France;0.85;01/01/2017;9
Le Pen;Marine;FN;1.0;01/01/2017;10
Arthaud;Nathalie;Lutte Ouvrière;0.1;01/01/2022;1
Poutou;Philippe;Nouveau Parti Anticapitaliste;0.0;01/01/2022;2
Roussel;Fabien;Parti communiste français;0.2;01/01/2022;16
Mélenchon;Jean-Luc;La France insoumise;0.2;01/01/2022;3
Hidalgo;Anne;PS;0.3;01/01/2022;17
Lassalle;Jean;Résistons;0.55;01/01/2022;12
Jadot;Yannick;Europe Ecologie Les Verts;0.4;01/01/2022;18
Macron;Emmanuel;La République en Marche;0.5;01/01/2022;13
Pécresse;Valérie;Les Républicains;0.8;01/01/2022;19
Dupont-Aignan;Nicolas;Debout la France;0.85;01/01/2022;9
Le Pen;Marine;RN;0.95;01/01/2022;10
Zemmour;Eric;Reconquête;1.0;01/01/2022;20
