ISO_Code;Date;NombeDelit
FR-01;01/01/2010;22626
FR-02;01/01/2010;24051
FR-03;01/01/2010;11650
FR-04;01/01/2010;7022
FR-05;01/01/2010;5293
FR-06;01/01/2010;93200
FR-07;01/01/2010;11010
FR-08;01/01/2010;10750
FR-09;01/01/2010;4813
FR-10;01/01/2010;14378
FR-11;01/01/2010;19933
FR-12;01/01/2010;7295
FR-13;01/01/2010;172211
FR-14;01/01/2010;29314
FR-15;01/01/2010;2984
FR-16;01/01/2010;13949
FR-17;01/01/2010;32620
FR-18;01/01/2010;11539
FR-19;01/01/2010;7975
FR-21;01/01/2010;21776
FR-22;01/01/2010;19267
FR-23;01/01/2010;2092
FR-24;01/01/2010;13410
FR-25;01/01/2010;23316
FR-26;01/01/2010;25560
FR-27;01/01/2010;24729
FR-28;01/01/2010;17627
FR-29;01/01/2010;33119
FR-2A;01/01/2010;6714
FR-2B;01/01/2010;7910
FR-30;01/01/2010;47125
FR-31;01/01/2010;79929
FR-32;01/01/2010;5436
FR-33;01/01/2010;85286
FR-34;01/01/2010;76914
FR-36;01/01/2010;7770
FR-35;01/01/2010;40027
FR-37;01/01/2010;26115
FR-38;01/01/2010;65088
FR-39;01/01/2010;8319
FR-40;01/01/2010;14498
FR-41;01/01/2010;13851
FR-42;01/01/2010;34741
FR-43;01/01/2010;6183
FR-44;01/01/2010;71279
FR-45;01/01/2010;31823
FR-46;01/01/2010;4768
FR-47;01/01/2010;12608
FR-48;01/01/2010;2079
FR-49;01/01/2010;26984
FR-50;01/01/2010;15124
FR-51;01/01/2010;33286
FR-52;01/01/2010;7761
FR-53;01/01/2010;8878
FR-54;01/01/2010;36686
FR-55;01/01/2010;6787
FR-56;01/01/2010;25840
FR-57;01/01/2010;45331
FR-58;01/01/2010;7514
FR-59;01/01/2010;165411
FR-60;01/01/2010;41135
FR-61;01/01/2010;10047
FR-62;01/01/2010;73833
FR-63;01/01/2010;25336
FR-64;01/01/2010;27868
FR-65;01/01/2010;9045
FR-66;01/01/2010;32383
FR-67;01/01/2010;49339
FR-68;01/01/2010;32240
FR-69;01/01/2010;116078
FR-70;01/01/2010;7368
FR-71;01/01/2010;18519
FR-72;01/01/2010;19184
FR-73;01/01/2010;25650
FR-74;01/01/2010;35317
FR-75;01/01/2010;238114
FR-76;01/01/2010;65791
FR-77;01/01/2010;80808
FR-78;01/01/2010;84309
FR-79;01/01/2010;11937
FR-80;01/01/2010;27086
FR-81;01/01/2010;13738
FR-82;01/01/2010;10559
FR-83;01/01/2010;62959
FR-84;01/01/2010;36998
FR-85;01/01/2010;20087
FR-86;01/01/2010;16551
FR-87;01/01/2010;13427
FR-88;01/01/2010;13163
FR-89;01/01/2010;15926
FR-90;01/01/2010;6394
FR-91;01/01/2010;69801
FR-92;01/01/2010;96476
FR-93;01/01/2010;142034
FR-94;01/01/2010;90179
FR-95;01/01/2010;92307
FR-01;01/01/2011;21962
FR-02;01/01/2011;25193
FR-03;01/01/2011;11837
FR-04;01/01/2011;7476
FR-05;01/01/2011;6018
FR-06;01/01/2011;92025
FR-07;01/01/2011;10865
FR-08;01/01/2011;11005
FR-09;01/01/2011;5029
FR-10;01/01/2011;13779
FR-11;01/01/2011;18971
FR-12;01/01/2011;7267
FR-13;01/01/2011;174989
FR-14;01/01/2011;28130
FR-15;01/01/2011;3052
FR-16;01/01/2011;14267
FR-17;01/01/2011;32578
FR-18;01/01/2011;11386
FR-19;01/01/2011;7773
FR-21;01/01/2011;22414
FR-22;01/01/2011;18742
FR-23;01/01/2011;2283
FR-24;01/01/2011;13432
FR-25;01/01/2011;23236
FR-26;01/01/2011;27660
FR-27;01/01/2011;24067
FR-28;01/01/2011;17846
FR-29;01/01/2011;33538
FR-2A;01/01/2011;7229
FR-2B;01/01/2011;7967
FR-30;01/01/2011;46658
FR-31;01/01/2011;83873
FR-32;01/01/2011;5561
FR-33;01/01/2011;83441
FR-34;01/01/2011;75564
FR-36;01/01/2011;7854
FR-35;01/01/2011;39359
FR-37;01/01/2011;26304
FR-38;01/01/2011;62686
FR-39;01/01/2011;8524
FR-40;01/01/2011;15536
FR-41;01/01/2011;13730
FR-42;01/01/2011;34290
FR-43;01/01/2011;5943
FR-44;01/01/2011;69835
FR-45;01/01/2011;32958
FR-46;01/01/2011;4840
FR-47;01/01/2011;12771
FR-48;01/01/2011;2199
FR-49;01/01/2011;28172
FR-50;01/01/2011;14143
FR-51;01/01/2011;32571
FR-52;01/01/2011;8388
FR-53;01/01/2011;8526
FR-54;01/01/2011;34658
FR-55;01/01/2011;6508
FR-56;01/01/2011;26154
FR-57;01/01/2011;46076
FR-58;01/01/2011;7178
FR-59;01/01/2011;162412
FR-60;01/01/2011;42566
FR-61;01/01/2011;9979
FR-62;01/01/2011;72545
FR-63;01/01/2011;24459
FR-64;01/01/2011;29162
FR-65;01/01/2011;9467
FR-66;01/01/2011;31099
FR-67;01/01/2011;47581
FR-68;01/01/2011;31093
FR-69;01/01/2011;114544
FR-70;01/01/2011;7198
FR-71;01/01/2011;19671
FR-72;01/01/2011;19568
FR-73;01/01/2011;26254
FR-74;01/01/2011;35982
FR-75;01/01/2011;233038
FR-76;01/01/2011;64750
FR-77;01/01/2011;80803
FR-78;01/01/2011;83954
FR-79;01/01/2011;11655
FR-80;01/01/2011;27754
FR-81;01/01/2011;13381
FR-82;01/01/2011;10760
FR-83;01/01/2011;61700
FR-84;01/01/2011;36159
FR-85;01/01/2011;21020
FR-86;01/01/2011;15919
FR-87;01/01/2011;13560
FR-88;01/01/2011;13870
FR-89;01/01/2011;16211
FR-90;01/01/2011;6271
FR-91;01/01/2011;71790
FR-92;01/01/2011;95567
FR-93;01/01/2011;140367
FR-94;01/01/2011;89103
FR-95;01/01/2011;92478
FR-01;01/01/2012;22504
FR-02;01/01/2012;24725
FR-03;01/01/2012;12322
FR-04;01/01/2012;7867
FR-05;01/01/2012;6061
FR-06;01/01/2012;89157
FR-07;01/01/2012;11111
FR-08;01/01/2012;10992
FR-09;01/01/2012;5699
FR-10;01/01/2012;14300
FR-11;01/01/2012;18504
FR-12;01/01/2012;6896
FR-13;01/01/2012;170262
FR-14;01/01/2012;28139
FR-15;01/01/2012;3297
FR-16;01/01/2012;13838
FR-17;01/01/2012;31090
FR-18;01/01/2012;11813
FR-19;01/01/2012;7704
FR-21;01/01/2012;21387
FR-22;01/01/2012;19035
FR-23;01/01/2012;2374
FR-24;01/01/2012;12766
FR-25;01/01/2012;23015
FR-26;01/01/2012;28162
FR-27;01/01/2012;23366
FR-28;01/01/2012;17731
FR-29;01/01/2012;35511
FR-2A;01/01/2012;7164
FR-2B;01/01/2012;7880
FR-30;01/01/2012;43404
FR-31;01/01/2012;84444
FR-32;01/01/2012;5225
FR-33;01/01/2012;81728
FR-34;01/01/2012;74454
FR-36;01/01/2012;7761
FR-35;01/01/2012;40481
FR-37;01/01/2012;25252
FR-38;01/01/2012;64547
FR-39;01/01/2012;8661
FR-40;01/01/2012;16361
FR-41;01/01/2012;13349
FR-42;01/01/2012;32703
FR-43;01/01/2012;5742
FR-44;01/01/2012;73054
FR-45;01/01/2012;31117
FR-46;01/01/2012;5269
FR-47;01/01/2012;12935
FR-48;01/01/2012;2103
FR-49;01/01/2012;29104
FR-50;01/01/2012;13418
FR-51;01/01/2012;32138
FR-52;01/01/2012;7775
FR-53;01/01/2012;9317
FR-54;01/01/2012;36355
FR-55;01/01/2012;7002
FR-56;01/01/2012;25382
FR-57;01/01/2012;45914
FR-58;01/01/2012;7558
FR-59;01/01/2012;158545
