Code du département.1;Candidat_id;% Voix/Exp.1;annee
FR-01;10;20.71;01/01/2012
FR-02;10;26.33;01/01/2012
FR-03;10;18.32;01/01/2012
FR-04;10;20.71;01/01/2012
FR-05;10;17.7;01/01/2012
FR-06;10;23.5;01/01/2012
FR-07;10;20.04;01/01/2012
FR-08;10;24.5;01/01/2012
FR-09;10;16.79;01/01/2012
FR-10;10;25.12;01/01/2012
FR-11;10;23.22;01/01/2012
FR-12;10;14.1;01/01/2012
FR-13;10;23.38;01/01/2012
FR-14;10;16.22;01/01/2012
FR-15;10;15.12;01/01/2012
FR-16;10;17.72;01/01/2012
FR-17;10;17.45;01/01/2012
FR-18;10;19.73;01/01/2012
FR-19;10;13.31;01/01/2012
FR-2A;10;25.71;01/01/2012
FR-2B;10;23.26;01/01/2012
FR-21;10;18.84;01/01/2012
FR-22;10;13.58;01/01/2012
FR-23;10;16.27;01/01/2012
FR-24;10;17.01;01/01/2012
FR-25;10;19.19;01/01/2012
FR-26;10;20.96;01/01/2012
FR-27;10;22.75;01/01/2012
FR-28;10;20.72;01/01/2012
FR-29;10;11.98;01/01/2012
FR-30;10;25.51;01/01/2012
FR-31;10;15.31;01/01/2012
FR-32;10;15.9;01/01/2012
FR-33;10;15.61;01/01/2012
FR-34;10;22.28;01/01/2012
FR-35;10;12.39;01/01/2012
FR-36;10;19.55;01/01/2012
FR-37;10;15.98;01/01/2012
FR-38;10;18.97;01/01/2012
FR-39;10;20.41;01/01/2012
FR-40;10;14.1;01/01/2012
FR-41;10;20.88;01/01/2012
FR-42;10;21.55;01/01/2012
FR-43;10;20.4;01/01/2012
FR-44;10;12.18;01/01/2012
FR-45;10;20.58;01/01/2012
FR-46;10;13.48;01/01/2012
FR-47;10;21.41;01/01/2012
FR-48;10;17.3;01/01/2012
FR-49;10;13.88;01/01/2012
FR-50;10;16.64;01/01/2012
FR-51;10;22.44;01/01/2012
FR-52;10;25.26;01/01/2012
FR-53;10;14.77;01/01/2012
FR-54;10;21.17;01/01/2012
FR-55;10;25.82;01/01/2012
FR-56;10;15.55;01/01/2012
FR-57;10;24.73;01/01/2012
FR-58;10;19.58;01/01/2012
FR-59;10;21.91;01/01/2012
FR-60;10;25.08;01/01/2012
FR-61;10;20;01/01/2012
FR-62;10;25.53;01/01/2012
FR-63;10;15.58;01/01/2012
FR-64;10;12.15;01/01/2012
FR-65;10;14.91;01/01/2012
FR-66;10;24.23;01/01/2012
FR-67;10;21.21;01/01/2012
FR-68;10;23.43;01/01/2012
FR-69;10;15.09;01/01/2012
FR-70;10;25.12;01/01/2012
FR-71;10;20.03;01/01/2012
FR-72;10;19.17;01/01/2012
FR-73;10;18.92;01/01/2012
FR-74;10;16.56;01/01/2012
FR-75;10;6.2;01/01/2012
FR-76;10;18.9;01/01/2012
FR-77;10;19.65;01/01/2012
FR-78;10;12.44;01/01/2012
FR-79;10;13.57;01/01/2012
FR-80;10;23.77;01/01/2012
FR-81;10;18.93;01/01/2012
FR-82;10;22.1;01/01/2012
FR-83;10;24.83;01/01/2012
FR-84;10;27.03;01/01/2012
FR-85;10;15.18;01/01/2012
FR-86;10;16.41;01/01/2012
FR-87;10;16.44;01/01/2012
FR-88;10;24.18;01/01/2012
FR-89;10;23.68;01/01/2012
FR-90;10;23.74;01/01/2012
FR-91;10;15.2;01/01/2012
FR-92;10;8.51;01/01/2012
FR-93;10;13.55;01/01/2012
FR-94;10;11.86;01/01/2012
FR-95;10;15.6;01/01/2012
FR-01;5;2.26;01/01/2012
FR-02;5;1.16;01/01/2012
FR-03;5;1.57;01/01/2012
FR-04;5;2.91;01/01/2012
FR-05;5;3.63;01/01/2012
FR-06;5;2.15;01/01/2012
FR-07;5;2.8;01/01/2012
FR-08;5;1.22;01/01/2012
FR-09;5;2.85;01/01/2012
FR-10;5;1.41;01/01/2012
FR-11;5;2.09;01/01/2012
FR-12;5;2.34;01/01/2012
FR-13;5;2.11;01/01/2012
FR-14;5;2.13;01/01/2012
FR-15;5;1.56;01/01/2012
FR-16;5;1.83;01/01/2012
FR-17;5;2.21;01/01/2012
FR-18;5;1.58;01/01/2012
FR-19;5;1.38;01/01/2012
FR-2A;5;2.23;01/01/2012
FR-2B;5;2.33;01/01/2012
FR-21;5;2.1;01/01/2012
FR-22;5;2.78;01/01/2012
FR-23;5;1.76;01/01/2012
FR-24;5;2.13;01/01/2012
FR-25;5;2.35;01/01/2012
FR-26;5;2.87;01/01/2012
FR-27;5;1.66;01/01/2012
FR-28;5;1.6;01/01/2012
FR-29;5;2.95;01/01/2012
FR-30;5;2.12;01/01/2012
FR-31;5;3.04;01/01/2012
FR-32;5;2.25;01/01/2012
FR-33;5;2.43;01/01/2012
FR-34;5;2.52;01/01/2012
FR-35;5;3.17;01/01/2012
FR-36;5;1.45;01/01/2012
FR-37;5;2.23;01/01/2012
FR-38;5;3.03;01/01/2012
FR-39;5;2.4;01/01/2012
FR-40;5;1.83;01/01/2012
FR-41;5;1.73;01/01/2012
FR-42;5;1.96;01/01/2012
FR-43;5;2.1;01/01/2012
FR-44;5;3.15;01/01/2012
FR-45;5;1.89;01/01/2012
FR-46;5;2.67;01/01/2012
FR-47;5;1.92;01/01/2012
FR-48;5;2.61;01/01/2012
FR-49;5;2.36;01/01/2012
FR-50;5;1.83;01/01/2012
FR-51;5;1.51;01/01/2012
FR-52;5;1.38;01/01/2012
FR-53;5;2.12;01/01/2012
FR-54;5;1.81;01/01/2012
FR-55;5;1.6;01/01/2012
FR-56;5;2.81;01/01/2012
FR-57;5;1.73;01/01/2012
FR-58;5;1.64;01/01/2012
FR-59;5;1.75;01/01/2012
FR-60;5;1.51;01/01/2012
FR-61;5;1.79;01/01/2012
FR-62;5;1.21;01/01/2012
FR-63;5;2.04;01/01/2012
FR-64;5;2.88;01/01/2012
FR-65;5;2.08;01/01/2012
FR-66;5;2.11;01/01/2012
FR-67;5;2.76;01/01/2012
FR-68;5;2.71;01/01/2012
FR-69;5;2.9;01/01/2012
FR-70;5;1.58;01/01/2012
FR-71;5;1.67;01/01/2012
FR-72;5;1.89;01/01/2012
FR-73;5;3.42;01/01/2012
FR-74;5;3.59;01/01/2012
FR-75;5;4.18;01/01/2012
FR-76;5;1.63;01/01/2012
FR-77;5;1.96;01/01/2012
FR-78;5;2.5;01/01/2012
FR-79;5;2.02;01/01/2012
FR-80;5;1.22;01/01/2012
FR-81;5;2.14;01/01/2012
FR-82;5;1.97;01/01/2012
FR-83;5;1.89;01/01/2012
FR-84;5;2.26;01/01/2012
FR-85;5;1.88;01/01/2012
FR-86;5;2.17;01/01/2012
FR-87;5;1.8;01/01/2012
FR-88;5;1.76;01/01/2012
FR-89;5;1.76;01/01/2012
FR-90;5;2.02;01/01/2012
FR-91;5;2.35;01/01/2012
FR-92;5;2.74;01/01/2012
FR-93;5;2.21;01/01/2012
FR-94;5;2.63;01/01/2012
FR-95;5;2.05;01/01/2012
FR-01;7;30.41;01/01/2012
FR-02;7;24.2;01/01/2012
FR-03;7;24.02;01/01/2012
FR-04;7;25.47;01/01/2012
FR-05;7;26.11;01/01/2012
FR-06;7;37.19;01/01/2012
FR-07;7;23.76;01/01/2012
FR-08;7;24.43;01/01/2012
FR-09;7;18.72;01/01/2012
FR-10;7;30.33;01/01/2012
FR-11;7;21.63;01/01/2012
FR-12;7;25.51;01/01/2012
FR-13;7;27.5;01/01/2012
FR-14;7;27.34;01/01/2012
FR-15;7;28.61;01/01/2012
FR-16;7;23.06;01/01/2012
FR-17;7;28.1;01/01/2012
FR-18;7;24.96;01/01/2012
FR-19;7;21.59;01/01/2012
FR-2A;7;31.83;01/01/2012
FR-2B;7;31.06;01/01/2012
FR-21;7;28.57;01/01/2012
FR-22;7;23.86;01/01/2012
FR-23;7;22.23;01/01/2012
FR-24;7;22.93;01/01/2012
FR-25;7;28.49;01/01/2012
FR-26;7;26.12;01/01/2012
FR-27;7;27.78;01/01/2012
FR-28;7;29.39;01/01/2012
FR-29;7;24.46;01/01/2012
FR-30;7;24.86;01/01/2012
FR-31;7;22.84;01/01/2012
FR-32;7;24.14;01/01/2012
FR-33;7;24.84;01/01/2012
FR-34;7;25.31;01/01/2012
FR-35;7;26.02;01/01/2012
FR-36;7;24.16;01/01/2012
FR-37;7;28.24;01/01/2012
FR-38;7;24.96;01/01/2012
FR-39;7;25.83;01/01/2012
FR-40;7;24.56;01/01/2012
FR-41;7;28.35;01/01/2012
FR-42;7;25.07;01/01/2012
FR-43;7;24.42;01/01/2012
FR-44;7;26.07;01/01/2012
FR-45;7;29.31;01/01/2012
FR-46;7;21.43;01/01/2012
FR-47;7;25.32;01/01/2012
FR-48;7;27.77;01/01/2012
FR-49;7;29.93;01/01/2012
FR-50;7;28.82;01/01/2012
FR-51;7;29.87;01/01/2012
FR-52;7;27.99;01/01/2012
FR-53;7;30.69;01/01/2012
FR-54;7;24.21;01/01/2012
FR-55;7;26.56;01/01/2012
FR-56;7;28.15;01/01/2012
FR-57;7;25.93;01/01/2012
FR-58;7;22.51;01/01/2012
FR-59;7;24.7;01/01/2012
FR-60;7;26.59;01/01/2012
FR-61;7;29.64;01/01/2012
FR-62;7;21.86;01/01/2012
FR-63;7;21.42;01/01/2012
FR-64;7;23.62;01/01/2012
FR-65;7;20.39;01/01/2012
FR-66;7;25.31;01/01/2012
FR-67;7;33.62;01/01/2012
FR-68;7;31.91;01/01/2012
FR-69;7;30.77;01/01/2012
FR-70;7;25.23;01/01/2012
FR-71;7;26.01;01/01/2012
FR-72;7;26.43;01/01/2012
FR-73;7;28.61;01/01/2012
FR-74;7;34.06;01/01/2012
FR-75;7;32.19;01/01/2012
FR-76;7;25.02;01/01/2012
FR-77;7;27.27;01/01/2012
FR-78;7;34.24;01/01/2012
FR-79;7;25.01;01/01/2012
FR-80;7;23.9;01/01/2012
FR-81;7;23.28;01/01/2012
FR-82;7;25.14;01/01/2012
FR-83;7;34.83;01/01/2012
FR-84;7;27.45;01/01/2012
FR-85;7;32.89;01/01/2012
FR-86;7;24.5;01/01/2012
FR-87;7;19.83;01/01/2012
FR-88;7;25.32;01/01/2012
FR-89;7;27.62;01/01/2012
FR-90;7;23.88;01/01/2012
FR-91;7;25.46;01/01/2012
FR-92;7;34.97;01/01/2012
FR-93;7;19.48;01/01/2012
FR-94;7;26.57;01/01/2012
FR-95;7;26.25;01/01/2012
FR-01;3;9.61;01/01/2012
FR-02;3;10.19;01/01/2012
FR-03;3;13.58;01/01/2012
FR-04;3;15.15;01/01/2012
FR-05;3;14.03;01/01/2012
FR-06;3;8.49;01/01/2012
FR-07;3;14.07;01/01/2012
FR-08;3;9.28;01/01/2012
FR-09;3;16.86;01/01/2012
FR-10;3;7.93;01/01/2012
FR-11;3;13.15;01/01/2012
FR-12;3;12.26;01/01/2012
FR-13;3;13.43;01/01/2012
FR-14;3;10.56;01/01/2012
FR-15;3;8.98;01/01/2012
FR-16;3;11.32;01/01/2012
FR-17;3;10.38;01/01/2012
FR-18;3;13.81;01/01/2012
FR-19;3;10.55;01/01/2012
FR-2A;3;9.69;01/01/2012
FR-2B;3;9.99;01/01/2012
FR-21;3;9.51;01/01/2012
FR-22;3;12.2;01/01/2012
FR-23;3;13.01;01/01/2012
FR-24;3;13.71;01/01/2012
FR-25;3;10.96;01/01/2012
FR-26;3;12.1;01/01/2012
FR-27;3;10.34;01/01/2012
FR-28;3;8.96;01/01/2012
FR-29;3;11.52;01/01/2012
FR-30;3;13.33;01/01/2012
FR-31;3;13.38;01/01/2012
FR-32;3;12.06;01/01/2012
FR-33;3;11.74;01/01/2012
FR-34;3;13.27;01/01/2012
FR-35;3;10.35;01/01/2012
FR-36;3;11.26;01/01/2012
FR-37;3;10.93;01/01/2012
FR-38;3;12.4;01/01/2012
FR-39;3;12.55;01/01/2012
FR-40;3;12.51;01/01/2012
FR-41;3;9.85;01/01/2012
FR-42;3;11.18;01/01/2012
FR-43;3;11.17;01/01/2012
FR-44;3;11.65;01/01/2012
FR-45;3;9.53;01/01/2012
FR-46;3;14.38;01/01/2012
FR-47;3;11.69;01/01/2012
FR-48;3;12.41;01/01/2012
FR-49;3;9.35;01/01/2012
FR-50;3;9.85;01/01/2012
FR-51;3;8.52;01/01/2012
FR-52;3;8.89;01/01/2012
FR-53;3;8.3;01/01/2012
FR-54;3;12.07;01/01/2012
FR-55;3;8.85;01/01/2012
FR-56;3;10.24;01/01/2012
FR-57;3;9.52;01/01/2012
FR-58;3;11.95;01/01/2012
FR-59;3;12.62;01/01/2012
FR-60;3;10.11;01/01/2012
FR-61;3;8.92;01/01/2012
FR-62;3;11.54;01/01/2012
FR-63;3;13.99;01/01/2012
FR-64;3;11.88;01/01/2012
FR-65;3;15.16;01/01/2012
FR-66;3;12.77;01/01/2012
FR-67;3;7.22;01/01/2012
FR-68;3;7.42;01/01/2012
FR-69;3;10.74;01/01/2012
FR-70;3;9.64;01/01/2012
FR-71;3;10.64;01/01/2012
FR-72;3;10.78;01/01/2012
FR-73;3;11.47;01/01/2012
FR-74;3;9.23;01/01/2012
FR-75;3;11.09;01/01/2012
FR-76;3;13.2;01/01/2012
FR-77;3;11.01;01/01/2012
FR-78;3;9.11;01/01/2012
FR-79;3;10.24;01/01/2012
FR-80;3;11;01/01/2012
FR-81;3;12.17;01/01/2012
FR-82;3;11.19;01/01/2012
FR-83;3;9.08;01/01/2012
FR-84;3;11.15;01/01/2012
FR-85;3;8.46;01/01/2012
FR-86;3;11;01/01/2012
FR-87;3;14.36;01/01/2012
FR-88;3;9.68;01/01/2012
FR-89;3;10.05;01/01/2012
FR-90;3;11.41;01/01/2012
FR-91;3;12.26;01/01/2012
FR-92;3;10.35;01/01/2012
FR-93;3;16.99;01/01/2012
FR-94;3;14;01/01/2012
FR-95;3;11.95;01/01/2012
FR-01;2;1.03;01/01/2012
FR-02;2;1.3;01/01/2012
FR-03;2;1.25;01/01/2012
FR-04;2;1.38;01/01/2012
FR-05;2;1.33;01/01/2012
FR-06;2;0.69;01/01/2012
FR-07;2;1.37;01/01/2012
FR-08;2;1.29;01/01/2012
FR-09;2;1.45;01/01/2012
FR-10;2;1.01;01/01/2012
FR-11;2;1.26;01/01/2012
FR-12;2;1.33;01/01/2012
FR-13;2;0.8;01/01/2012
FR-14;2;1.34;01/01/2012
FR-15;2;1.24;01/01/2012
FR-16;2;1.47;01/01/2012
FR-17;2;1.42;01/01/2012
FR-18;2;1.22;01/01/2012
FR-19;2;1.01;01/01/2012
FR-2A;2;1.18;01/01/2012
FR-2B;2;1.16;01/01/2012
FR-21;2;1.06;01/01/2012
FR-22;2;1.33;01/01/2012
FR-23;2;1.49;01/01/2012
FR-24;2;1.37;01/01/2012
FR-25;2;1.18;01/01/2012
FR-26;2;1.11;01/01/2012
FR-27;2;1.37;01/01/2012
FR-28;2;1.22;01/01/2012
FR-29;2;1.48;01/01/2012
FR-30;2;1.01;01/01/2012
FR-31;2;1.11;01/01/2012
FR-32;2;1.23;01/01/2012
FR-33;2;1.66;01/01/2012
FR-34;2;1.03;01/01/2012
FR-35;2;1.22;01/01/2012
FR-36;2;1.43;01/01/2012
FR-37;2;1.28;01/01/2012
FR-38;2;1.03;01/01/2012
FR-39;2;1.32;01/01/2012
FR-40;2;1.48;01/01/2012
FR-41;2;1.31;01/01/2012
FR-42;2;1.08;01/01/2012
FR-43;2;1.33;01/01/2012
FR-44;2;1.25;01/01/2012
FR-45;2;1.01;01/01/2012
FR-46;2;1.45;01/01/2012
FR-47;2;1.37;01/01/2012
FR-48;2;1.29;01/01/2012
FR-49;2;1.39;01/01/2012
FR-50;2;1.35;01/01/2012
FR-51;2;1.19;01/01/2012
FR-52;2;1.33;01/01/2012
FR-53;2;1.31;01/01/2012
FR-54;2;1.28;01/01/2012
FR-55;2;1.5;01/01/2012
FR-56;2;1.37;01/01/2012
FR-57;2;1.39;01/01/2012
FR-58;2;1.28;01/01/2012
FR-59;2;1.1;01/01/2012
FR-60;2;1.22;01/01/2012
FR-61;2;1.45;01/01/2012
FR-62;2;1.29;01/01/2012
FR-63;2;1.24;01/01/2012
FR-64;2;1.73;01/01/2012
FR-65;2;1.36;01/01/2012
FR-66;2;1.24;01/01/2012
FR-67;2;1.02;01/01/2012
FR-68;2;1.19;01/01/2012
FR-69;2;0.84;01/01/2012
FR-70;2;1.36;01/01/2012
FR-71;2;1.22;01/01/2012
FR-72;2;1.34;01/01/2012
FR-73;2;1.19;01/01/2012
FR-74;2;1.12;01/01/2012
FR-75;2;0.67;01/01/2012
FR-76;2;1.28;01/01/2012
FR-77;2;1.02;01/01/2012
FR-78;2;0.8;01/01/2012
FR-79;2;1.6;01/01/2012
FR-80;2;1.28;01/01/2012
FR-81;2;1.25;01/01/2012
FR-82;2;1.21;01/01/2012
FR-83;2;0.87;01/01/2012
FR-84;2;0.95;01/01/2012
FR-85;2;1.45;01/01/2012
FR-86;2;1.35;01/01/2012
FR-87;2;1.21;01/01/2012
FR-88;2;1.56;01/01/2012
FR-89;2;1.27;01/01/2012
FR-90;2;1.32;01/01/2012
FR-91;2;0.94;01/01/2012
FR-92;2;0.69;01/01/2012
FR-93;2;0.92;01/01/2012
FR-94;2;0.84;01/01/2012
FR-95;2;0.96;01/01/2012
FR-01;1;0.56;01/01/2012
FR-02;1;0.84;01/01/2012
FR-03;1;0.72;01/01/2012
FR-04;1;0.48;01/01/2012
FR-05;1;0.56;01/01/2012
FR-06;1;0.27;01/01/2012
FR-07;1;0.63;01/01/2012
FR-08;1;0.77;01/01/2012
FR-09;1;0.55;01/01/2012
FR-10;1;0.61;01/01/2012
FR-11;1;0.52;01/01/2012
FR-12;1;0.53;01/01/2012
FR-13;1;0.35;01/01/2012
FR-14;1;0.66;01/01/2012
FR-15;1;0.6;01/01/2012
FR-16;1;0.7;01/01/2012
FR-17;1;0.57;01/01/2012
FR-18;1;0.76;01/01/2012
FR-19;1;0.42;01/01/2012
FR-2A;1;0.3;01/01/2012
FR-2B;1;0.33;01/01/2012
FR-21;1;0.56;01/01/2012
FR-22;1;0.67;01/01/2012
FR-23;1;0.72;01/01/2012
FR-24;1;0.57;01/01/2012
FR-25;1;0.65;01/01/2012
FR-26;1;0.71;01/01/2012
FR-27;1;0.65;01/01/2012
FR-28;1;0.67;01/01/2012
FR-29;1;0.6;01/01/2012
FR-30;1;0.47;01/01/2012
FR-31;1;0.41;01/01/2012
FR-32;1;0.54;01/01/2012
FR-33;1;0.45;01/01/2012
FR-34;1;0.4;01/01/2012
FR-35;1;0.67;01/01/2012
FR-36;1;0.86;01/01/2012
FR-37;1;0.68;01/01/2012
FR-38;1;0.52;01/01/2012
FR-39;1;0.7;01/01/2012
FR-40;1;0.48;01/01/2012
FR-41;1;0.7;01/01/2012
FR-42;1;0.61;01/01/2012
FR-43;1;0.74;01/01/2012
FR-44;1;0.58;01/01/2012
FR-45;1;0.56;01/01/2012
FR-46;1;0.55;01/01/2012
FR-47;1;0.5;01/01/2012
FR-48;1;0.53;01/01/2012
FR-49;1;0.75;01/01/2012
FR-50;1;0.72;01/01/2012
FR-51;1;0.66;01/01/2012
FR-52;1;0.79;01/01/2012
FR-53;1;0.78;01/01/2012
FR-54;1;0.66;01/01/2012
FR-55;1;0.7;01/01/2012
FR-56;1;0.61;01/01/2012
FR-57;1;0.76;01/01/2012
FR-58;1;0.72;01/01/2012
FR-59;1;0.7;01/01/2012
FR-60;1;0.78;01/01/2012
FR-61;1;0.74;01/01/2012
FR-62;1;0.85;01/01/2012
FR-63;1;0.64;01/01/2012
FR-64;1;0.46;01/01/2012
FR-65;1;0.54;01/01/2012
FR-66;1;0.49;01/01/2012
FR-67;1;0.64;01/01/2012
