Code du département.1;Nom.11;%Voix/Exp;annee
FR-01;11;0.57;01/01/2017
FR-02;11;0.96;01/01/2017
FR-03;11;0.8;01/01/2017
FR-04;11;0.52;01/01/2017
FR-05;11;0.47;01/01/2017
FR-06;11;0.29;01/01/2017
FR-07;11;0.67;01/01/2017
FR-08;11;0.94;01/01/2017
FR-09;11;0.6;01/01/2017
FR-10;11;0.69;01/01/2017
FR-11;11;0.56;01/01/2017
FR-12;11;0.63;01/01/2017
FR-13;11;0.39;01/01/2017
FR-14;11;0.77;01/01/2017
FR-15;11;0.76;01/01/2017
FR-16;11;0.83;01/01/2017
FR-17;11;0.67;01/01/2017
FR-18;11;0.94;01/01/2017
FR-19;11;0.72;01/01/2017
FR-21;11;0.63;01/01/2017
FR-22;11;0.81;01/01/2017
FR-23;11;0.97;01/01/2017
FR-24;11;0.65;01/01/2017
FR-25;11;0.72;01/01/2017
FR-26;11;0.76;01/01/2017
FR-27;11;0.78;01/01/2017
FR-28;11;0.77;01/01/2017
FR-29;11;0.65;01/01/2017
FR-2A;11;0.3;01/01/2017
FR-2B;11;0.34;01/01/2017
FR-30;11;0.5;01/01/2017
FR-31;11;0.44;01/01/2017
FR-32;11;0.57;01/01/2017
FR-33;11;0.47;01/01/2017
FR-34;11;0.4;01/01/2017
FR-35;11;0.72;01/01/2017
FR-36;11;1.06;01/01/2017
FR-37;11;0.77;01/01/2017
FR-38;11;0.54;01/01/2017
FR-39;11;0.77;01/01/2017
FR-40;11;0.5;01/01/2017
FR-41;11;0.8;01/01/2017
FR-42;11;0.65;01/01/2017
FR-43;11;0.75;01/01/2017
FR-44;11;0.59;01/01/2017
FR-45;11;0.67;01/01/2017
FR-46;11;0.65;01/01/2017
FR-47;11;0.55;01/01/2017
FR-48;11;0.61;01/01/2017
FR-49;11;0.84;01/01/2017
FR-50;11;0.86;01/01/2017
FR-51;11;0.74;01/01/2017
FR-52;11;0.9;01/01/2017
FR-53;11;0.9;01/01/2017
FR-54;11;0.77;01/01/2017
FR-55;11;0.83;01/01/2017
FR-56;11;0.7;01/01/2017
FR-57;11;0.88;01/01/2017
FR-58;11;0.83;01/01/2017
FR-59;11;0.81;01/01/2017
FR-60;11;0.84;01/01/2017
FR-61;11;0.91;01/01/2017
FR-62;11;1.04;01/01/2017
FR-63;11;0.76;01/01/2017
FR-64;11;0.45;01/01/2017
FR-65;11;0.55;01/01/2017
FR-66;11;0.55;01/01/2017
FR-67;11;0.81;01/01/2017
FR-68;11;0.77;01/01/2017
FR-69;11;0.46;01/01/2017
FR-70;11;0.95;01/01/2017
FR-71;11;0.71;01/01/2017
FR-72;11;0.76;01/01/2017
FR-73;11;0.5;01/01/2017
FR-74;11;0.46;01/01/2017
FR-75;11;0.27;01/01/2017
FR-76;11;0.78;01/01/2017
FR-77;11;0.54;01/01/2017
FR-78;11;0.38;01/01/2017
FR-79;11;0.87;01/01/2017
FR-80;11;0.97;01/01/2017
FR-81;11;0.6;01/01/2017
FR-82;11;0.57;01/01/2017
FR-83;11;0.37;01/01/2017
FR-84;11;0.44;01/01/2017
FR-85;11;0.79;01/01/2017
FR-86;11;0.87;01/01/2017
FR-87;11;0.89;01/01/2017
FR-88;11;0.91;01/01/2017
FR-89;11;0.75;01/01/2017
FR-90;11;0.83;01/01/2017
FR-91;11;0.47;01/01/2017
FR-92;11;0.31;01/01/2017
FR-93;11;0.6;01/01/2017
FR-94;11;0.45;01/01/2017
FR-95;11;0.5;01/01/2017
FR-01;18;1.11;01/01/2017
FR-02;18;0.75;01/01/2017
FR-03;18;0.74;01/01/2017
FR-04;18;0.93;01/01/2017
FR-05;18;0.9;01/01/2017
FR-06;18;1.03;01/01/2017
FR-07;18;1.01;01/01/2017
FR-08;18;0.74;01/01/2017
FR-09;18;0.86;01/01/2017
FR-10;18;0.82;01/01/2017
FR-11;18;0.83;01/01/2017
FR-12;18;0.74;01/01/2017
FR-13;18;0.9;01/01/2017
FR-14;18;0.7;01/01/2017
FR-15;18;0.58;01/01/2017
FR-16;18;0.77;01/01/2017
FR-17;18;0.79;01/01/2017
FR-18;18;0.86;01/01/2017
FR-19;18;0.75;01/01/2017
FR-21;18;0.86;01/01/2017
FR-22;18;0.66;01/01/2017
FR-23;18;0.83;01/01/2017
FR-24;18;0.86;01/01/2017
FR-25;18;1.1;01/01/2017
FR-26;18;1.03;01/01/2017
FR-27;18;0.87;01/01/2017
FR-28;18;0.96;01/01/2017
FR-29;18;0.66;01/01/2017
FR-2A;18;0.67;01/01/2017
FR-2B;18;0.59;01/01/2017
FR-30;18;0.97;01/01/2017
FR-31;18;0.83;01/01/2017
FR-32;18;0.87;01/01/2017
FR-33;18;0.82;01/01/2017
FR-34;18;0.94;01/01/2017
FR-35;18;0.67;01/01/2017
FR-36;18;0.84;01/01/2017
FR-37;18;0.77;01/01/2017
FR-38;18;0.99;01/01/2017
FR-39;18;0.89;01/01/2017
FR-40;18;0.77;01/01/2017
FR-41;18;0.78;01/01/2017
FR-42;18;0.89;01/01/2017
FR-43;18;0.75;01/01/2017
FR-44;18;0.76;01/01/2017
FR-45;18;0.87;01/01/2017
FR-46;18;0.79;01/01/2017
FR-47;18;0.88;01/01/2017
FR-48;18;0.74;01/01/2017
FR-49;18;0.75;01/01/2017
FR-50;18;0.68;01/01/2017
FR-51;18;0.83;01/01/2017
FR-52;18;0.79;01/01/2017
FR-53;18;0.66;01/01/2017
FR-54;18;0.91;01/01/2017
FR-55;18;0.8;01/01/2017
FR-56;18;0.69;01/01/2017
FR-57;18;1.07;01/01/2017
FR-58;18;0.8;01/01/2017
FR-59;18;0.85;01/01/2017
FR-60;18;1.07;01/01/2017
FR-61;18;0.78;01/01/2017
FR-62;18;0.66;01/01/2017
FR-63;18;0.82;01/01/2017
FR-64;18;0.7;01/01/2017
FR-65;18;0.73;01/01/2017
FR-66;18;0.86;01/01/2017
FR-67;18;1.14;01/01/2017
FR-68;18;1.29;01/01/2017
FR-69;18;1.03;01/01/2017
FR-70;18;0.86;01/01/2017
FR-71;18;0.82;01/01/2017
FR-72;18;0.64;01/01/2017
FR-73;18;1.08;01/01/2017
FR-74;18;1.21;01/01/2017
FR-75;18;0.77;01/01/2017
FR-76;18;0.76;01/01/2017
FR-77;18;1.2;01/01/2017
FR-78;18;1.07;01/01/2017
FR-79;18;0.69;01/01/2017
FR-80;18;0.71;01/01/2017
FR-81;18;0.78;01/01/2017
FR-82;18;0.91;01/01/2017
FR-83;18;0.96;01/01/2017
FR-84;18;0.92;01/01/2017
FR-85;18;0.65;01/01/2017
FR-86;18;0.8;01/01/2017
FR-87;18;0.75;01/01/2017
FR-88;18;1.01;01/01/2017
FR-89;18;0.96;01/01/2017
FR-90;18;1.31;01/01/2017
FR-91;18;1.21;01/01/2017
FR-92;18;1.06;01/01/2017
FR-93;18;1.61;01/01/2017
FR-94;18;1.2;01/01/2017
FR-95;18;1.41;01/01/2017
FR-01;15;0.18;01/01/2017
FR-02;15;0.19;01/01/2017
FR-03;15;0.18;01/01/2017
FR-04;15;0.21;01/01/2017
FR-05;15;0.19;01/01/2017
FR-06;15;0.16;01/01/2017
FR-07;15;0.19;01/01/2017
FR-08;15;0.18;01/01/2017
FR-09;15;0.15;01/01/2017
FR-10;15;0.18;01/01/2017
FR-11;15;0.16;01/01/2017
FR-12;15;0.18;01/01/2017
FR-13;15;0.17;01/01/2017
FR-14;15;0.17;01/01/2017
FR-15;15;0.22;01/01/2017
FR-16;15;0.23;01/01/2017
FR-17;15;0.18;01/01/2017
FR-18;15;0.2;01/01/2017
FR-19;15;0.23;01/01/2017
FR-21;15;0.18;01/01/2017
FR-22;15;0.17;01/01/2017
FR-23;15;0.25;01/01/2017
FR-24;15;0.2;01/01/2017
FR-25;15;0.19;01/01/2017
FR-26;15;0.18;01/01/2017
FR-27;15;0.18;01/01/2017
FR-28;15;0.19;01/01/2017
FR-29;15;0.15;01/01/2017
FR-2A;15;0.16;01/01/2017
FR-2B;15;0.17;01/01/2017
FR-30;15;0.16;01/01/2017
FR-31;15;0.18;01/01/2017
